age,income,debts,employment_length,loan_amount,payment_history,credit_utilization,credit_score,loan_purpose_education,loan_purpose_home_improvement,loan_purpose_personal,creditworthy
59,24324,11706,36,6776,0,0.503148644112562,411,1,0,0,0
49,96323,48517,21,13449,1,0.6924173079816633,609,0,1,0,0
35,29111,45486,4,25297,1,0.2597888077989902,335,0,0,0,0
63,58110,30257,1,41591,1,0.31469319624021763,738,0,1,0,0
28,36389,22736,26,16717,0,0.61750152395949,624,0,1,0,0
41,142177,43207,20,41123,0,0.8989559405092995,606,0,1,0,0
59,61427,14281,37,40233,0,0.8118251760998704,833,0,0,1,0
39,99579,2435,14,46505,0,0.5872989169085877,408,0,0,0,0
43,48746,34339,20,47092,1,0.7329195005796767,671,0,0,0,0
31,142883,36150,9,11350,1,0.3711742455057207,656,0,0,1,1
31,107886,26821,22,31622,1,0.6445558728177702,480,1,0,0,0
44,127141,27660,38,36323,0,0.4715197752162814,655,0,1,0,0
56,20117,6084,4,3951,1,0.1980367750929853,367,0,0,0,0
60,145808,17661,0,18622,1,0.7047208911384846,591,0,0,1,0
44,132221,14507,12,5727,1,0.5608999909753338,480,0,1,0,0
23,104471,8059,20,39454,1,0.36503536613405546,765,1,0,0,1
42,132613,19271,25,37469,0,0.9122257981778444,733,1,0,0,0
22,33234,46539,20,36548,1,0.030724776648465936,763,0,1,0,0
44,149597,51417,17,24782,1,0.32261541973700103,833,1,0,0,1
64,123864,8491,36,29454,1,0.0663125837998701,365,0,0,0,0
50,73441,48295,31,3368,1,0.7688620430594109,320,0,0,0,0
58,20846,51192,35,16592,1,0.7050863795726546,683,0,0,0,0
22,30954,15859,16,23173,1,0.33803869654895385,338,1,0,0,0
41,99239,59261,34,34204,1,0.6789062731850023,584,0,0,0,0
53,133689,9073,10,36596,1,0.4019778539339903,635,0,0,1,0
32,66514,10077,20,35324,1,0.75869125350821,487,0,0,0,0
42,108236,52904,25,47132,1,0.459641826109339,542,0,0,0,0
64,117579,58365,3,24864,1,0.4181569305533489,372,1,0,0,0
45,148644,21953,33,48829,0,0.935382616333418,778,0,0,0,0
69,26469,12383,17,31750,1,0.25837030889179324,400,0,1,0,0
47,50105,50146,39,11576,1,0.12924286659659978,813,0,0,1,0
62,62101,56505,34,17566,1,0.5886976821268636,475,1,0,0,0
48,84323,3353,28,8190,1,0.9696285941613371,537,0,0,1,0
36,111922,24821,28,24071,1,0.3840608215899148,358,0,1,0,0
35,78067,38567,37,39333,0,0.0714163959924937,398,1,0,0,0
67,69376,50838,20,16369,1,0.34591221463647176,794,1,0,0,0
64,65587,25860,12,25035,0,0.5108723377763629,813,0,0,0,0
23,56976,22195,16,2589,1,0.17030377656589157,596,0,0,1,0
57,124587,12939,8,26235,0,0.6615211958759272,510,0,1,0,0
27,147534,26338,0,1159,1,0.9977718951200986,422,0,1,0,0
41,87584,22730,1,13145,1,0.4572220812216294,528,1,0,0,0
29,124537,22427,28,16373,1,0.36118127116291054,687,0,0,0,1
59,98477,36196,32,32921,1,0.406697125166122,439,1,0,0,0
38,130911,28083,9,40323,1,0.12399471661124913,840,1,0,0,1
24,62533,22510,39,17237,1,0.8844408654119615,690,1,0,0,1
45,21828,58372,20,42971,1,0.4206773989661385,569,1,0,0,0
34,21917,59250,27,9244,0,0.3934016673105929,311,0,1,0,0
29,40618,45064,10,15743,1,0.6630933702011695,688,0,1,0,0
46,52254,8813,33,32566,0,0.44761308672181227,636,1,0,0,0
22,125292,32598,7,47101,1,0.6517511341197676,805,1,0,0,1
40,136714,48182,21,47109,1,0.07083182722947963,405,0,0,0,0
48,67362,28570,7,19691,1,0.8155861102850052,331,1,0,0,0
67,40128,28082,14,34996,1,0.9410989133506086,373,0,1,0,0
27,143781,30241,16,6590,1,0.6522777322977921,470,0,0,1,0
64,131281,31678,22,6585,0,0.9550202695702227,368,0,1,0,0
28,79383,45569,23,10227,1,0.15991799122626366,661,0,0,0,0
67,85545,12745,18,29278,1,0.48264202758555014,732,0,1,0,1
55,102180,27029,4,39814,1,0.6057886666059928,399,0,0,1,0
34,107958,14025,31,13237,1,0.5859192809469749,308,1,0,0,0
37,29865,37124,0,16649,1,0.4074471612981528,328,0,0,1,0
56,22219,58859,22,38713,1,0.34470356527259877,413,1,0,0,0
60,59809,15288,36,8927,1,0.1355557823249146,761,1,0,0,1
24,136748,24650,7,46409,1,0.39782502605665543,442,0,1,0,0
22,25287,7540,12,49766,1,0.17103420695443028,689,0,1,0,1
26,146593,33232,7,47154,0,0.7370220197272962,456,0,1,0,0
62,54387,17422,22,8016,1,0.2167426261396441,634,0,0,0,0
24,28512,4342,0,15027,1,0.06797965223168852,559,0,1,0,0
49,21342,42846,23,49688,1,0.5568424764390619,381,0,0,0,0
38,83076,36612,34,25142,0,0.5992774353922076,740,0,1,0,0
46,128872,11396,23,47520,1,0.8731939306677005,471,1,0,0,0
64,39216,18482,16,24545,1,0.5812117962935051,530,0,0,0,0
54,137512,24411,4,32897,1,0.3520260451862113,374,0,0,1,0
30,136682,51975,19,4167,1,0.8049817627110574,569,0,0,0,0
56,113070,47766,20,45757,0,0.5448761042555469,361,0,0,0,0
34,99767,14261,39,27917,1,0.08848748178487982,619,0,0,1,0
51,117829,53307,30,23736,1,0.5701920547101141,401,0,0,0,0
68,46614,4093,35,28990,1,0.9089383599674458,728,1,0,0,1
35,56258,12722,10,15087,1,0.4023494992432384,554,0,1,0,0
28,113789,23042,14,23440,0,0.3033625438808021,831,0,0,1,0
34,62078,53930,18,36205,1,0.15203476244783987,411,0,1,0,0
43,126288,53048,6,16275,0,0.15993106671600377,612,1,0,0,0
60,103524,45413,27,6276,1,0.4384437694984007,760,0,0,1,0
41,116573,48851,4,42627,1,0.5997230259199142,761,0,1,0,0
36,32219,29087,4,41586,1,0.08980925111790573,391,0,1,0,0
65,20235,33347,29,38496,1,0.9401729031349141,351,1,0,0,0
38,62929,34756,31,20008,1,0.757582281270744,819,0,1,0,0
67,147309,54268,7,6738,1,0.590757679100826,397,1,0,0,0
44,87444,40214,9,33402,1,0.8301542842296009,535,0,0,0,0
46,28567,17335,37,6793,1,0.08938488924399215,673,1,0,0,0
45,121834,29602,31,38291,1,0.48207048895579313,533,0,0,0,0
65,90792,54331,27,6571,0,0.6337921955930468,331,0,0,1,0
61,85441,49901,16,32331,1,0.8303663770571064,588,0,1,0,0
49,104555,35450,30,17209,1,0.7856348644487751,841,1,0,0,1
35,93698,33196,7,49014,1,0.2842985572162656,413,1,0,0,0
65,144450,6626,39,26394,1,0.9414713678636122,503,0,1,0,0
21,137248,8424,24,44148,1,0.13310238301656166,328,0,1,0,0
45,25415,13857,8,26682,0,0.8763822824349407,773,0,0,1,0
27,56159,45923,1,3224,1,0.9712308471085723,552,0,0,1,0
29,63925,51085,14,42157,1,0.18538198799039932,685,1,0,0,0
44,146523,20982,2,49695,1,0.7248454035617474,361,0,0,1,0
21,25951,12425,35,45452,0,0.04988266359021848,814,0,0,0,0
64,107388,2980,3,44408,1,0.4113685968877634,729,0,0,1,1
28,28007,49290,13,33441,1,0.5211204662056973,836,0,0,1,0
44,146730,27431,24,42430,1,0.5848387736505377,440,1,0,0,0
31,61832,20440,9,40129,0,0.9365778757660739,599,0,0,0,0
37,78596,42752,20,35716,1,0.6755281804212527,610,0,0,1,0
28,141101,18175,35,45859,1,0.4864651717070446,770,0,0,0,1
55,50523,49651,11,27586,1,0.8115782859032304,692,0,0,0,0
55,108861,27385,26,45760,1,0.9510274927448649,744,0,0,0,1
53,144194,39158,39,24478,1,0.03184548719546793,471,0,1,0,0
25,106740,24019,1,7318,1,0.9826960595334783,330,0,1,0,0
62,35524,19639,12,29694,0,0.09527081767304353,346,0,1,0,0
59,149028,20994,31,21180,1,0.8162429114760738,429,0,1,0,0
61,39282,35375,30,13180,1,0.28753140502589836,651,1,0,0,0
48,43930,22563,15,34002,1,0.14085786117633303,357,0,0,1,0
27,20077,40341,31,16372,0,0.44545708331669653,405,0,1,0,0
29,125881,51136,31,30796,0,0.6475170136531374,629,1,0,0,0
28,145501,6776,33,25427,1,0.38714232657324027,682,0,0,1,1
32,40611,37444,10,34290,1,0.06401975419987196,461,0,1,0,0
54,36984,4380,9,29099,1,0.6034665282621294,585,0,0,1,0
53,34060,9711,14,46486,1,0.903379243349568,370,0,1,0,0
68,102985,9782,16,10821,1,0.38938321228777917,753,1,0,0,1
43,104056,18434,39,6832,1,0.22416944985451878,696,0,0,0,1
44,145329,47765,17,13820,1,0.44815157247348725,814,0,0,0,1
57,63303,21017,8,17211,1,0.057879083938293066,325,0,0,1,0
55,79207,31707,24,40890,1,0.822282708635472,612,1,0,0,0
64,95046,40110,39,6842,0,0.8280774028406849,425,0,0,0,0
60,49287,18343,13,2316,1,0.5921204587953321,707,0,1,0,1
42,113709,39827,24,46968,1,0.3595718600490056,497,0,0,0,0
47,59711,42652,21,18508,1,0.8017855308013255,487,0,0,1,0
55,31954,6655,29,23005,1,0.5591401545404835,783,0,0,1,1
21,93340,45859,19,16206,1,0.8276729854645161,749,1,0,0,0
55,92101,54625,20,19971,1,0.6351442046571905,822,0,0,1,0
57,91520,53098,31,26599,1,0.7865614184806693,653,0,0,0,0
67,107062,16251,20,23056,1,0.6025773632855824,399,0,0,0,0
34,122974,57877,34,2378,1,0.41999965753350954,577,0,0,0,0
23,38574,1526,31,2519,1,0.9583664013268762,790,0,0,0,1
21,29184,4224,29,23161,0,0.5457026866300563,554,1,0,0,0
25,39096,48837,38,41703,0,0.609038623355133,680,0,1,0,0
46,87728,12536,11,39861,1,0.22828276302060177,841,0,1,0,1
34,54016,29541,17,6355,1,0.6293942815330037,563,1,0,0,0
59,31246,14547,20,10083,1,0.5758915729881144,628,0,0,1,0
47,65558,52027,12,39342,1,0.1929900139675547,414,0,1,0,0
29,138721,35531,20,21456,1,0.06899122637961227,575,0,0,1,0
35,38381,9712,7,14324,1,0.6083157265176233,787,0,1,0,1
35,147796,39565,39,3257,1,0.7660553466568173,580,0,0,1,0
46,56455,10208,6,28364,1,0.5281673572127882,574,1,0,0,0
62,112263,57251,22,25972,1,0.23450489906644925,627,0,0,0,0
33,24018,6109,31,47179,1,0.6698567569261046,510,0,0,1,0
52,31302,56796,10,27654,1,0.08930466934350621,325,0,0,0,0
59,87506,50268,21,16233,1,0.4474153677539351,326,0,0,1,0
69,61157,36201,21,16887,0,0.171733090814436,382,0,0,1,0
52,74917,55615,24,30320,1,0.19261446054928452,712,0,0,1,0
24,112738,17967,21,21808,1,0.21027100966662163,466,0,0,1,0
50,116646,58738,27,31154,1,0.3928399864735381,468,0,0,1,0
57,103122,30759,28,35773,1,0.06063870356419365,528,0,0,0,0
43,44519,21172,12,28747,1,0.4038155065198072,666,0,0,1,0
59,116809,37935,17,11860,1,0.5165903726435538,827,0,0,0,1
65,107487,58617,1,43838,1,0.488461342116662,837,1,0,0,0
35,76819,27589,28,43156,1,0.3889562593990102,823,0,1,0,1
63,100910,31015,20,19156,0,0.840755141990045,371,0,0,1,0
49,140430,30009,14,21360,0,0.15387342549629907,405,0,1,0,0
56,91324,18773,26,19135,1,0.5106397763435603,581,0,0,0,0
33,25408,42125,30,26351,1,0.07142100278698875,432,1,0,0,0
52,79379,27143,14,31499,1,0.08044412208913064,833,1,0,0,1
27,45053,7154,22,48377,0,0.5781271911803253,568,1,0,0,0
42,29446,22804,23,24554,1,0.5703582406389427,711,0,1,0,0
48,20922,42688,12,20604,0,0.8792531777160124,317,0,0,0,0
22,118723,52195,21,17923,1,0.5622949389034725,416,0,0,1,0
62,71356,21581,36,48591,1,0.9601931102008017,443,0,0,1,0
65,30789,53648,32,9547,1,0.05820789991593047,721,0,0,0,0
26,117720,31087,2,45283,0,0.10702760793293364,668,0,1,0,0
48,86656,50930,18,34002,1,0.053625202954677584,349,0,0,1,0
48,64028,33981,22,15562,1,0.19342408183020462,405,0,0,0,0
64,84484,4762,28,8480,1,0.5458574098322613,515,0,0,1,0
64,52154,47167,29,27672,1,0.6491164596131537,724,1,0,0,0
40,102870,10768,38,5213,1,0.05512930636918211,371,0,0,1,0
50,22336,44408,24,11293,1,0.9465111809471433,745,0,1,0,0
31,123677,40499,36,35441,1,0.8437437228838772,485,0,0,0,0
48,87779,53269,7,3100,1,0.3036463573355222,369,0,1,0,0
45,39029,39559,15,45617,1,0.08641565492420328,449,0,0,0,0
59,79201,49590,7,29172,1,0.1781882024868667,545,1,0,0,0
53,52265,9783,0,21132,1,0.13567496961742295,837,0,0,0,1
21,122916,47389,4,19199,0,0.1320509415059574,398,0,0,1,0
47,132250,30781,2,37609,0,0.5233760717790766,577,0,0,1,0
33,136553,31811,0,43965,1,0.2533889680684663,754,1,0,0,1
61,63872,49787,3,9016,1,0.364558319363853,403,0,0,0,0
23,66197,36488,39,40779,1,0.9896102800504792,532,1,0,0,0
59,145733,9905,34,38261,1,0.6874711064360913,693,0,0,1,1
26,75180,10127,31,32881,1,0.9494908603765313,800,0,1,0,1
28,43710,23431,33,18058,1,0.15113098948278444,550,1,0,0,0
47,49486,58184,24,25472,1,0.38831808008424357,820,0,1,0,0
29,91907,50153,9,42346,0,0.5591844852495307,378,0,1,0,0
57,148876,7368,20,35926,1,0.08599048126985064,351,0,0,0,0
53,91895,28424,38,35832,0,0.014145569191678288,525,1,0,0,0
62,84435,47824,26,37021,0,0.6737299904589483,350,0,1,0,0
64,60631,46004,26,25087,1,0.645401321633421,485,0,1,0,0
44,149038,19333,1,13828,1,0.41668092189961564,333,0,0,0,0
35,121532,24116,12,32128,1,0.49474763527171234,430,0,0,0,0
52,40103,48219,8,2401,1,0.4212885705861687,742,0,0,1,0
52,84772,57985,35,20643,1,0.03376499439643997,731,0,1,0,0
44,146108,51069,21,16193,1,0.34201789015528783,796,0,0,1,1
61,34382,53326,25,27853,0,0.18531143284331694,702,0,1,0,0
69,104291,44201,11,45864,1,0.10743994721035505,622,0,0,1,0
69,121195,16525,16,21307,1,0.9571532295504563,509,0,0,0,0
32,23756,24398,13,37982,1,0.6033661277917439,628,1,0,0,0
59,40609,33857,13,20611,0,0.7313697213942366,671,0,0,0,0
22,134074,51861,33,44791,1,0.32221010583345633,759,0,0,1,1
23,36478,11361,19,12950,1,0.39921565819907506,432,0,0,1,0
69,120978,17369,10,11704,1,0.24455475395775625,420,1,0,0,0
57,59666,4041,15,44111,1,0.10599601425577049,751,0,1,0,1
69,95683,1105,30,12867,1,0.18724132106716795,428,0,0,1,0
37,119097,10078,5,3745,1,0.799538904843521,390,0,0,1,0
69,144714,26003,18,4866,1,0.6807703471319381,328,0,0,1,0
22,120420,52047,36,33245,1,0.5514595872256222,823,1,0,0,0
22,91315,7090,3,45724,1,0.4803389741381004,632,0,0,0,0
48,97834,58660,3,6818,1,0.9232099408195632,596,0,0,1,0
43,146205,39850,19,49861,1,0.08200759830088171,429,1,0,0,0
57,34153,50786,9,31116,1,0.2877948051055368,592,0,0,1,0
52,129415,2925,23,16493,1,0.3564384750350069,472,0,1,0,0
53,96325,19440,34,29038,1,0.78460155409066,323,1,0,0,0
21,129701,40685,25,21447,1,0.9925894739603516,398,0,0,1,0
39,32999,53296,36,31431,1,0.24826380960958155,705,1,0,0,0
22,75318,27015,37,18908,1,0.8755642607957098,655,0,0,1,1
64,20814,34320,20,30336,1,0.8323165328274734,438,0,0,0,0
46,135033,26291,39,41992,1,0.23241082366534896,802,0,0,1,1
52,96077,55535,38,5025,1,0.40533925439723034,473,1,0,0,0
26,110474,37679,20,21093,1,0.4155761405995939,328,0,1,0,0
52,22443,27289,9,7155,1,0.9784384618412927,795,0,1,0,0
24,95993,4389,37,47607,1,0.18908298236510934,650,0,1,0,1
31,95916,26683,3,34487,1,0.8011663913937342,598,0,0,1,0
37,93319,14629,19,48658,1,0.34085078703137883,491,0,0,0,0
58,145885,25826,16,21963,0,0.7335616423183988,363,0,0,1,0
44,129777,36198,6,21936,1,0.42581089425270624,514,0,1,0,0
25,37368,27630,3,5426,1,0.5825761654853746,465,1,0,0,0
54,35328,34226,28,24303,1,0.8342856555928698,842,0,1,0,0
26,76942,47163,13,46280,1,0.8061239093340453,531,1,0,0,0
42,111751,33975,2,28606,1,0.8677589517043032,840,0,0,0,1
31,119131,1899,23,48832,0,0.06902115209121243,494,1,0,0,0
68,47306,12653,36,29151,1,0.6951300475093474,805,0,0,1,1
36,105451,28961,15,14767,1,0.14858750295454526,633,0,0,1,0
53,59915,17405,3,12308,1,0.4216603823382269,603,0,0,1,0
29,57219,9601,23,45245,1,0.5531025309041416,736,1,0,0,1
26,100879,34662,33,46671,1,0.4087120898993624,622,0,0,1,0
36,131939,34282,29,25770,0,0.5244155590449774,801,0,0,1,0
49,84644,57446,17,29572,1,0.996561045710633,692,0,0,1,0
23,80279,22288,18,42448,1,0.1438651405757262,448,0,0,0,0
40,73028,58019,30,3204,0,0.6787014848830613,704,1,0,0,0
56,124263,30545,18,28233,1,0.40204095672175905,582,1,0,0,0
39,20126,37877,18,22729,1,0.1416797009182555,661,0,1,0,0
46,72329,47026,21,32131,1,0.16714939574056645,678,1,0,0,0
23,47632,16313,23,34870,1,0.9497803751831607,497,0,0,0,0
39,127099,16349,11,39011,0,0.8808054817446443,655,1,0,0,0
40,85310,8179,29,40382,0,0.9079715408108716,839,0,0,0,0
52,129945,11326,37,42475,1,0.9916174480691127,728,0,0,0,1
27,75176,45555,30,47681,1,0.21623223610843278,316,1,0,0,0
61,139797,2560,35,22607,1,0.36188494399042115,678,0,1,0,1
53,106066,14612,18,25968,1,0.672526839625618,805,0,0,1,1
60,125500,18650,35,34398,1,0.4889645144620408,375,0,0,1,0
